1615473683,68.48MiB
1615473686,121.5MiB
1615473689,127.7MiB
1615473691,152.8MiB
1615473694,190.8MiB
1615473697,216.6MiB
1615473700,228.8MiB
1615473703,267.9MiB
1615473706,293.4MiB
1615473709,330.2MiB
1615473712,354.7MiB
1615473715,380.3MiB
1615473718,406.1MiB
1615473721,431.4MiB
1615473724,441.4MiB
1615473727,467.7MiB
1615473730,480.1MiB
1615473732,493.6MiB
1615473736,517.6MiB
1615473739,530MiB
1615473742,556.4MiB
1615473745,569.2MiB
1615473748,606.2MiB
1615473751,637.6MiB
1615473754,663.1MiB
1615473757,675.8MiB
1615473760,688.8MiB
1615473763,715.2MiB
1615473766,727.7MiB
1615473769,740.5MiB
1615473772,766MiB
1615473775,779MiB
1615473778,804.5MiB
1615473781,802MiB
1615473784,796.6MiB
1615473788,810.3MiB
1615473791,824.2MiB
1615473795,835.4MiB
1615473798,860.5MiB
1615473801,872.7MiB
1615473804,898.1MiB
1615473807,923.6MiB
1615473810,962MiB
1615473813,987.2MiB
1615473816,1.001GiB
1615473819,1.026GiB
1615473822,1.076GiB
1615473825,1.113GiB
1615473828,1.138GiB
1615473831,1.175GiB
1615473834,1.212GiB
1615473837,1.237GiB
1615473840,1.274GiB
1615473843,1.31GiB
1615473846,1.298GiB
1615473849,1.298GiB
1615473852,1.297GiB
1615473855,1.297GiB
1615473858,1.296GiB
1615473861,1.296GiB
1615473864,1.296GiB
1615473866,1.296GiB
1615473869,1.296GiB
1615473872,1.296GiB
1615473875,1.296GiB
1615473887,1.296GiB
1615473890,1.296GiB
1615473893,1.296GiB
